row_id,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
750,69775,Prodaja,Stan,4,4,1,0,CG,Beograd,Opština Vračar,Kalenić pijaca,115,,DA,DA,,,320000,44.803044,20.47899,0.0335127205102788,3.0
751,69776,Prodaja,Stan,3,7,6,0,CG,Beograd,Opština Novi Beograd,Blok 29,80,,DA,,DA,,137000,44.8194,20.408,0.04480680751850018,3.0
752,69777,Prodaja,Stan,3,3,1,0,CG,Beograd,Opština Zvezdara,Denkova bašta,70,,DA,DA,,Novogradnja,115500,44.789624,20.50776,0.06483671318011122,1.0
753,69778,Prodaja,Stan,3,24,3,0,CG,Beograd,Opština Savski venac,Beograd na vodi,88,,DA,,DA,Novogradnja,299000,44.8122,20.4511,0.01159741350474834,1.0
754,69779,Prodaja,Stan,3,6,2,0,CG,Beograd,Opština Stari grad,Dorćol,60,,,,DA,Novogradnja,172000,44.820131,20.470092,0.017852389896034007,1.0
755,69780,Prodaja,Stan,1,4,0,0,TA,Beograd,Opština Stari grad,Atelje 212,40,,DA,,,Stara gradnja,89000,44.813292,20.469558,0.01989724171839086,2.0
756,69781,Prodaja,Stan,4,5,2,0,CG,Beograd,Opština Stari grad,Knez Mihailova,83,,DA,DA,DA,Stara gradnja,279500,44.816915,20.455739,0.0074759311125782305,2.0
757,69782,Prodaja,Stan,3,6,4,0,CG,Beograd,Opština Stari grad,Trg Republike,83,,DA,DA,DA,Stara gradnja,219000,44.816527,20.462743,0.012423058319110091,2.0
758,69783,Prodaja,Stan,2,3,1,0,EG,Beograd,Opština Voždovac,Šumice,55,,DA,DA,,Novogradnja,91900,44.787419,20.494616,0.055512658169107706,1.0
759,69784,Prodaja,Stan,5,4,1,0,CG,Beograd,Opština Stari grad,Knez Mihailova,144,,DA,,DA,Stara gradnja,580000,44.816972,20.457896,0.008562336129821553,2.0
760,69785,Prodaja,Stan,1,5,0,0,TA,Beograd,Opština Stari grad,Skupština,24,,DA,,DA,Stara gradnja,75800,44.812616,20.465929,0.0173354347219807,2.0
761,69786,Prodaja,Stan,2,10,0,0,CG,Beograd,Opština Zvezdara,Konjarnik,37,,DA,,DA,,60000,44.7824,20.513,0.07317000751674237,3.0
762,69787,Prodaja,Stan,4,6,2,0,,Beograd,Opština Stari grad,Skupština,104,,DA,,,,275000,44.8133,20.4648,0.016031219541884103,3.0
763,69788,Prodaja,Stan,4,4,0,0,TA,Beograd,Opština Vračar,Slavija,94,,DA,,,Stara gradnja,210000,44.803077,20.468067,0.025778600000776843,2.0
764,69789,Prodaja,Stan,2,8,2,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,50,,DA,DA,DA,,115000,44.8276,20.4125,0.04028920450939519,3.0
765,69790,Prodaja,Stan,4,5,1,0,CG,Beograd,Opština Vračar,Kalenić pijaca,125,,DA,DA,DA,,288000,44.8009,20.4814,0.036732546876036117,3.0
766,69791,Prodaja,Stan,4,4,1,0,EG,Beograd,Opština Voždovac,Jajinci,53,DA,DA,,,,62000,44.7419,20.4817,0.08682194423070805,3.0
767,69792,Prodaja,Stan,3,4,3,0,TA,Beograd,Opština Zvezdara,Vukov Spomenik,83,,DA,DA,,Stara gradnja,180000,44.803762,20.478717,0.0328575947537262,2.0
768,69793,Prodaja,Stan,2,0,0,0,TA,Beograd,Opština Palilula,Višnjička Banja,36,,DA,,,,40000,44.8098,20.5248,0.07352584579588188,3.0
769,69794,Prodaja,Stan,1,4,4,0,EG,Beograd,Opština Palilula,Botanička bašta,36,,DA,,,,72000,44.8143,20.4755,0.024754191564258066,3.0
770,69795,Prodaja,Stan,3,6,3,0,Gas,Beograd,Opština Čukarica,Filmski grad,76,,,,DA,Novogradnja,102500,44.7487,20.4314,0.07793869385613567,1.0
771,69796,Prodaja,Stan,3,4,3,0,CG,Beograd,Opština Voždovac,Šumice,78,,DA,,,,129000,44.7858,20.4962,0.05776997490046331,3.0
772,69797,Prodaja,Stan,4,4,2,0,CG,Beograd,Opština Vračar,Kalenić pijaca,96,,DA,DA,DA,,285000,44.802529,20.473177,0.029523281829770907,3.0
773,69798,Prodaja,Stan,4,2,0,0,CG,Beograd,Opština Rakovica,Labudovo brdo,91,DA,DA,,,,150000,44.7313,20.4242,0.09666602298636777,3.0
774,69799,Prodaja,Stan,3,3,1,0,TA,Beograd,Opština Rakovica,Vidikovačka padina,53,,DA,,,,44000,44.7369,20.4295,0.08982121130334765,3.0
775,69800,Prodaja,Stan,3,3,1,0,CG,Beograd,Opština Rakovica,Centar,73,DA,DA,,,,85000,44.7488,20.4377,0.07636766331373478,3.0
776,69801,Prodaja,Stan,2,3,2,0,EG,Beograd,Opština Rakovica,Resnik,62,DA,DA,,,Novogradnja,77000,44.7296,20.472,0.0960789779296225,1.0
