,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
3545,74077,Prodaja,Stan,1,4,0,0,CG,Beograd,Opština Vračar,Hram svetog Save,30,,DA,,,Stara gradnja,77000,44.7971,20.4726,0.03328002403845416,2.0
3547,74079,Prodaja,Stan,2,6,1,0,CG,Beograd,Opština Vračar,Hram svetog Save,64,,DA,DA,DA,Stara gradnja,188000,44.8012,20.47,0.02844310109675081,2.0
3548,74082,Prodaja,Stan,2,3,2,0,EG,Beograd,Opština Novi Beograd,Ledine,47,,,DA,,Novogradnja,58750,44.799072,20.319796,0.13506828199099905,1.0
3549,74083,Prodaja,Stan,3,3,1,0,EG,Beograd,Opština Novi Beograd,Ledine,63,,,DA,,Novogradnja,78750,44.799235,20.319819,0.13501603677341567,1.0
3550,74084,Prodaja,Stan,3,3,1,0,CG,Beograd,Opština Stari grad,Skupština,77,,DA,DA,DA,Stara gradnja,230000,44.813593,20.466349,0.017064186180422408,2.0
3551,74086,Prodaja,Stan,5,4,2,0,CG,Beograd,Opština Stari grad,Studentski trg,155,DA,,DA,DA,Stara gradnja,440000,44.820392,20.460079,0.008177915687999433,2.0
3553,74095,Prodaja,Stan,1,7,1,0,CG,Beograd,Opština Zvezdara,Gradska bolnica,24,,DA,,DA,Novogradnja,52850,44.8036,20.4877,0.04044774406564558,1.0
3554,74096,Prodaja,Stan,3,6,3,0,CG,Beograd,Opština Novi Beograd,Dr Ivana Ribara,85,,,,DA,Novogradnja,155000,44.799083,20.366653,0.08940292779322227,1.0
3556,74101,Prodaja,Stan,3,3,3,0,EG,Beograd,Opština Novi Beograd,Ledine,74,,,DA,,Novogradnja,92500,44.799108,20.31972,0.135136452757945,1.0
3559,74108,Prodaja,Stan,3,10,7,0,CG,Beograd,Opština Voždovac,Braće Jerković,96,,,DA,DA,Stara gradnja,117500,44.763658,20.495828,0.07398446964059596,2.0
3560,74111,Prodaja,Stan,4,6,2,0,EG,Beograd,Opština Stari grad,Skupština,104,,DA,,DA,Stara gradnja,275000,44.813326,20.464692,0.01593224215231343,2.0
3561,74112,Prodaja,Stan,4,8,7,0,EG,Beograd,Opština Savski venac,Palata pravde,130,,DA,DA,DA,Stara gradnja,190000,44.804302,20.454618,0.019502685148463386,2.0
3562,74113,Prodaja,Stan,2,7,5,0,CG,Beograd,Opština Novi Beograd,Blok 19a,79,,DA,DA,DA,Novogradnja,195000,44.804935,20.427043,0.031706237146656636,1.0
3563,74114,Prodaja,Stan,2,5,3,0,EG,Beograd,Opština Voždovac,Lekino brdo,56,,DA,DA,,Novogradnja,125000,44.79018,20.482159,0.04469144080246389,1.0
